id,name,usage,location_id/id
stock.Building5|1GA|K|4,4,Internal Location,stock.Building5|1GA|K|
stock.Building5|1GA|K|5,5,Internal Location,stock.Building5|1GA|K|
stock.Building5|1GA|L|,L,Internal Location,stock.Building5|1GA||
stock.Building5|1GA|L|6,6,Internal Location,stock.Building5|1GA|L|
stock.Building5|1GA|M|,M,Internal Location,stock.Building5|1GA||
stock.Building5|1GA|M|1,1,Internal Location,stock.Building5|1GA|M|
stock.Building5|1GA|M|2,2,Internal Location,stock.Building5|1GA|M|
stock.Building5|1GA|M|3,3,Internal Location,stock.Building5|1GA|M|
stock.Building5|1GA|M|4,4,Internal Location,stock.Building5|1GA|M|
stock.Building5|1GA|M|5,5,Internal Location,stock.Building5|1GA|M|
stock.Building5|1GA|N|,N,Internal Location,stock.Building5|1GA||
stock.Building5|1GA|N|1,1,Internal Location,stock.Building5|1GA|N|
stock.Building5|1GA|N|2,2,Internal Location,stock.Building5|1GA|N|
stock.Building5|1GA|N|3,3,Internal Location,stock.Building5|1GA|N|
stock.Building5|1GA|O|,O,Internal Location,stock.Building5|1GA||
stock.Building5|1GA|O|1,1,Internal Location,stock.Building5|1GA|O|
stock.Building5|1GA|O|2,2,Internal Location,stock.Building5|1GA|O|
stock.Building5|1GA|O|3,3,Internal Location,stock.Building5|1GA|O|
stock.Building5|1GA|O|4,4,Internal Location,stock.Building5|1GA|O|
stock.Building5|1GA|O|5,5,Internal Location,stock.Building5|1GA|O|
stock.Building5|1GA|P|,P,Internal Location,stock.Building5|1GA||
stock.Building5|1GA|P|1,1,Internal Location,stock.Building5|1GA|P|
stock.Building5|1GA|P|2,2,Internal Location,stock.Building5|1GA|P|
stock.Building5|1GA|P|3,3,Internal Location,stock.Building5|1GA|P|
stock.Building5|1GA|P|4,4,Internal Location,stock.Building5|1GA|P|
stock.Building5|1GA|P|5,5,Internal Location,stock.Building5|1GA|P|
stock.Building5|1GA|P|6,6,Internal Location,stock.Building5|1GA|P|
stock.Building5|1GA|P|7,7,Internal Location,stock.Building5|1GA|P|
stock.Building5|1GA|Q|,Q,Internal Location,stock.Building5|1GA||
stock.Building5|1GA|Q|1,1,Internal Location,stock.Building5|1GA|Q|
stock.Building5|1GA|Q|2,2,Internal Location,stock.Building5|1GA|Q|
stock.Building5|1GA|Q|3,3,Internal Location,stock.Building5|1GA|Q|
stock.Building5|1GA|Q|4,4,Internal Location,stock.Building5|1GA|Q|
stock.Building5|1GA|Q|5,5,Internal Location,stock.Building5|1GA|Q|
stock.Building5|1GA|R|,R,Internal Location,stock.Building5|1GA||
stock.Building5|1GA|R|1,1,Internal Location,stock.Building5|1GA|R|
stock.Building5|1GA|R|2,2,Internal Location,stock.Building5|1GA|R|
stock.Building5|1GA|R|3,3,Internal Location,stock.Building5|1GA|R|
stock.Building5|1GA|R|4,4,Internal Location,stock.Building5|1GA|R|
stock.Building5|1GA|S|,S,Internal Location,stock.Building5|1GA||
stock.Building5|1GA|S|3,3,Internal Location,stock.Building5|1GA|S|
stock.Building5|1GA|S|4,4,Internal Location,stock.Building5|1GA|S|
stock.Building5|1GA|S|5,5,Internal Location,stock.Building5|1GA|S|
stock.Building5|1GA|T|,T,Internal Location,stock.Building5|1GA||
stock.Building5|1GA|T|1,1,Internal Location,stock.Building5|1GA|T|
stock.Building5|1GA|T|2,2,Internal Location,stock.Building5|1GA|T|
stock.Building5|1GA|T|3,3,Internal Location,stock.Building5|1GA|T|
stock.Building5|1GA|T|4,4,Internal Location,stock.Building5|1GA|T|
stock.Building5|1GA|T|5,5,Internal Location,stock.Building5|1GA|T|
stock.Building5|1GA|U|,U,Internal Location,stock.Building5|1GA||
stock.Building5|1GA|U|1,1,Internal Location,stock.Building5|1GA|U|
stock.Building5|1GA|U|2,2,Internal Location,stock.Building5|1GA|U|
stock.Building5|1GA|U|3,3,Internal Location,stock.Building5|1GA|U|
stock.Building5|1GA|U|5,5,Internal Location,stock.Building5|1GA|U|
stock.Building5|1GA|V|,V,Internal Location,stock.Building5|1GA||
stock.Building5|1GA|V|1,1,Internal Location,stock.Building5|1GA|V|
stock.Building5|1GA|V|2,2,Internal Location,stock.Building5|1GA|V|
stock.Building5|1GA|V|3,3,Internal Location,stock.Building5|1GA|V|
stock.Building5|1GA|V|5,5,Internal Location,stock.Building5|1GA|V|
stock.Building5|1GA|V|6,6,Internal Location,stock.Building5|1GA|V|
stock.Building5|1GA|W|,W,Internal Location,stock.Building5|1GA||
stock.Building5|1GA|W|1,1,Internal Location,stock.Building5|1GA|W|
stock.Building5|1GA|W|3,3,Internal Location,stock.Building5|1GA|W|
stock.Building5|1GA|W|4,4,Internal Location,stock.Building5|1GA|W|
stock.Building5|1GA|W|5,5,Internal Location,stock.Building5|1GA|W|
stock.Building5|1GA|W|6,6,Internal Location,stock.Building5|1GA|W|
stock.Building5|1GB||,1GB,Internal Location,stock.Building5|||
stock.Building5|1GB|0|,0,Internal Location,stock.Building5|1GB||
stock.Building5|1GB|0|1,1,Internal Location,stock.Building5|1GB|0|
stock.Building5|1GB|A|,A,Internal Location,stock.Building5|1GB||
stock.Building5|1GB|A|1,1,Internal Location,stock.Building5|1GB|A|
stock.Building5|1GB|A|3,3,Internal Location,stock.Building5|1GB|A|
stock.Building5|1GB|A|4,4,Internal Location,stock.Building5|1GB|A|
stock.Building5|1GB|A|5,5,Internal Location,stock.Building5|1GB|A|
stock.Building5|1GB|A|6,6,Internal Location,stock.Building5|1GB|A|
stock.Building5|1GB|B|,B,Internal Location,stock.Building5|1GB||
stock.Building5|1GB|B|1,1,Internal Location,stock.Building5|1GB|B|
stock.Building5|1GB|B|2,2,Internal Location,stock.Building5|1GB|B|
stock.Building5|1GB|B|4,4,Internal Location,stock.Building5|1GB|B|
stock.Building5|1GB|B|5,5,Internal Location,stock.Building5|1GB|B|
stock.Building5|1GB|B|6,6,Internal Location,stock.Building5|1GB|B|
stock.Building5|1GB|C|,C,Internal Location,stock.Building5|1GB||
stock.Building5|1GB|C|1,1,Internal Location,stock.Building5|1GB|C|
stock.Building5|1GB|C|2,2,Internal Location,stock.Building5|1GB|C|
stock.Building5|1GB|C|3,3,Internal Location,stock.Building5|1GB|C|
stock.Building5|1GB|C|4,4,Internal Location,stock.Building5|1GB|C|
stock.Building5|1GB|C|5,5,Internal Location,stock.Building5|1GB|C|
stock.Building5|1GB|C|6,6,Internal Location,stock.Building5|1GB|C|
stock.Building5|1GB|D|,D,Internal Location,stock.Building5|1GB||
stock.Building5|1GB|D|1,1,Internal Location,stock.Building5|1GB|D|
stock.Building5|1GB|D|2,2,Internal Location,stock.Building5|1GB|D|
stock.Building5|1GB|D|3,3,Internal Location,stock.Building5|1GB|D|
stock.Building5|1GB|D|4,4,Internal Location,stock.Building5|1GB|D|
stock.Building5|1GB|D|5,5,Internal Location,stock.Building5|1GB|D|
stock.Building5|1GB|D|6,6,Internal Location,stock.Building5|1GB|D|
stock.Building5|1GB|E|,E,Internal Location,stock.Building5|1GB||
stock.Building5|1GB|E|1,1,Internal Location,stock.Building5|1GB|E|
stock.Building5|1GB|E|2,2,Internal Location,stock.Building5|1GB|E|
stock.Building5|1GB|E|6,6,Internal Location,stock.Building5|1GB|E|
stock.Building5|1GB|F|,F,Internal Location,stock.Building5|1GB||
stock.Building5|1GB|F|1,1,Internal Location,stock.Building5|1GB|F|
stock.Building5|1GB|F|2,2,Internal Location,stock.Building5|1GB|F|
stock.Building5|1GB|F|3,3,Internal Location,stock.Building5|1GB|F|
stock.Building5|1GB|F|4,4,Internal Location,stock.Building5|1GB|F|
stock.Building5|1GB|F|5,5,Internal Location,stock.Building5|1GB|F|
stock.Building5|1GB|F|6,6,Internal Location,stock.Building5|1GB|F|
stock.Building5|1GB|G|,G,Internal Location,stock.Building5|1GB||
stock.Building5|1GB|G|1,1,Internal Location,stock.Building5|1GB|G|
stock.Building5|1GB|G|2,2,Internal Location,stock.Building5|1GB|G|
stock.Building5|1GB|G|3,3,Internal Location,stock.Building5|1GB|G|
stock.Building5|1GB|G|4,4,Internal Location,stock.Building5|1GB|G|
stock.Building5|1GB|G|5,5,Internal Location,stock.Building5|1GB|G|
stock.Building5|1GB|G|6,6,Internal Location,stock.Building5|1GB|G|
stock.Building5|1GB|H|,H,Internal Location,stock.Building5|1GB||
stock.Building5|1GB|H|1,1,Internal Location,stock.Building5|1GB|H|
stock.Building5|1GB|H|2,2,Internal Location,stock.Building5|1GB|H|
stock.Building5|1GB|H|3,3,Internal Location,stock.Building5|1GB|H|
stock.Building5|1GB|H|4,4,Internal Location,stock.Building5|1GB|H|
stock.Building5|1GB|H|5,5,Internal Location,stock.Building5|1GB|H|
stock.Building5|1GB|H|6,6,Internal Location,stock.Building5|1GB|H|
stock.Building5|1GB|I|,I,Internal Location,stock.Building5|1GB||
stock.Building5|1GB|I|1,1,Internal Location,stock.Building5|1GB|I|
stock.Building5|1GB|I|2,2,Internal Location,stock.Building5|1GB|I|
stock.Building5|1GB|I|3,3,Internal Location,stock.Building5|1GB|I|
stock.Building5|1GB|I|4,4,Internal Location,stock.Building5|1GB|I|
stock.Building5|1GB|I|5,5,Internal Location,stock.Building5|1GB|I|
stock.Building5|1GB|I|6,6,Internal Location,stock.Building5|1GB|I|
stock.Building5|1GB|J|,J,Internal Location,stock.Building5|1GB||
stock.Building5|1GB|J|1,1,Internal Location,stock.Building5|1GB|J|
stock.Building5|1GB|J|2,2,Internal Location,stock.Building5|1GB|J|
stock.Building5|1GB|J|3,3,Internal Location,stock.Building5|1GB|J|
stock.Building5|1GB|J|4,4,Internal Location,stock.Building5|1GB|J|
stock.Building5|1GB|J|6,6,Internal Location,stock.Building5|1GB|J|
stock.Building5|1GB|K|,K,Internal Location,stock.Building5|1GB||
stock.Building5|1GB|K|1,1,Internal Location,stock.Building5|1GB|K|
stock.Building5|1GB|K|2,2,Internal Location,stock.Building5|1GB|K|
stock.Building5|1GB|K|3,3,Internal Location,stock.Building5|1GB|K|
stock.Building5|1GB|K|4,4,Internal Location,stock.Building5|1GB|K|
stock.Building5|1GB|K|6,6,Internal Location,stock.Building5|1GB|K|
stock.Building5|1GB|L|,L,Internal Location,stock.Building5|1GB||
stock.Building5|1GB|L|2,2,Internal Location,stock.Building5|1GB|L|
stock.Building5|1GB|L|3,3,Internal Location,stock.Building5|1GB|L|
stock.Building5|1GB|L|5,5,Internal Location,stock.Building5|1GB|L|
stock.Building5|1GB|M|,M,Internal Location,stock.Building5|1GB||
stock.Building5|1GB|M|1,1,Internal Location,stock.Building5|1GB|M|
stock.Building5|1GB|M|3,3,Internal Location,stock.Building5|1GB|M|
stock.Building5|1GB|M|4,4,Internal Location,stock.Building5|1GB|M|
stock.Building5|1GB|M|5,5,Internal Location,stock.Building5|1GB|M|
stock.Building5|1GB|N|,N,Internal Location,stock.Building5|1GB||
stock.Building5|1GB|N|1,1,Internal Location,stock.Building5|1GB|N|
stock.Building5|1GB|N|2,2,Internal Location,stock.Building5|1GB|N|
stock.Building5|1GB|N|3,3,Internal Location,stock.Building5|1GB|N|
stock.Building5|1GB|N|4,4,Internal Location,stock.Building5|1GB|N|
stock.Building5|1GB|N|5,5,Internal Location,stock.Building5|1GB|N|
stock.Building5|1GB|O|,O,Internal Location,stock.Building5|1GB||
stock.Building5|1GB|O|1,1,Internal Location,stock.Building5|1GB|O|
stock.Building5|1GB|O|2,2,Internal Location,stock.Building5|1GB|O|
stock.Building5|1GB|O|3,3,Internal Location,stock.Building5|1GB|O|
stock.Building5|1GB|O|4,4,Internal Location,stock.Building5|1GB|O|
stock.Building5|1GB|O|5,5,Internal Location,stock.Building5|1GB|O|
stock.Building5|1GB|O|6,6,Internal Location,stock.Building5|1GB|O|
stock.Building5|1GB|P|,P,Internal Location,stock.Building5|1GB||
stock.Building5|1GB|P|1,1,Internal Location,stock.Building5|1GB|P|
stock.Building5|1GB|P|2,2,Internal Location,stock.Building5|1GB|P|
